vehicle_type,weight,max_load_capacity,passenger_count,cargo_weight,road_condition,weather,region,overloaded
heavy vehicle,5078.146476275926,18274.61226301926,1,9972.112449220613,good,clear,desert,Not Overloaded
heavy vehicle,5047.194126186727,19552.224322023278,2,10264.84977690411,excellent,windy,highway,Not Overloaded
2-wheeler,155.6891035202557,248.8015132063274,2,140.4873397777435,poor,foggy,urban,Overloaded
heavy vehicle,5088.276655610609,14108.17420662639,1,7024.6128052232025,excellent,clear,desert,Not Overloaded
heavy vehicle,5125.959255518339,17254.359354191824,2,9584.003634555867,good,clear,rural,Not Overloaded
4-wheeler 5-seater,1262.4113708480586,566.80087894808,1,691.3319268017506,excellent,windy,mountainous,Overloaded
heavy vehicle,6091.740694922453,18392.14099544986,2,9838.536526052456,good,clear,suburban,Not Overloaded
delivery vehicle,2645.888273064277,4566.046101060725,1,5543.764159298213,poor,rainy,desert,Overloaded
delivery vehicle,3131.613909369584,3648.563336391426,1,4056.4194801455474,poor,rainy,urban,Overloaded
heavy vehicle,5082.916898128173,19731.518149944997,2,9841.791237914256,excellent,clear,mountainous,Not Overloaded
2-wheeler,142.25224990770516,238.662467642891,1,196.34962182112972,very poor,extreme,rural,Overloaded
heavy vehicle,6091.464694114637,19399.112448186042,1,10153.226516580395,average,clear,highway,Not Overloaded
2-wheeler,150.91230260715696,213.5223929838309,1,214.70269470405475,very poor,foggy,mountainous,Overloaded
4-wheeler 5-seater,1273.1609364228552,604.4525493932356,3,472.698293865728,average,extreme,urban,Overloaded
4-wheeler 5-seater,856.861035005227,691.4959859388536,4,579.4952118038369,excellent,clear,highway,Overloaded
heavy vehicle,5591.23807651998,19990.810084090328,2,13485.707021382008,excellent,clear,suburban,Not Overloaded
4-wheeler 5-seater,1316.3375347456326,554.6539630118873,5,246.69234323378035,very poor,windy,rural,Overloaded
heavy vehicle,5955.548451891553,18824.665698443052,2,9893.948854622246,excellent,clear,suburban,Not Overloaded
heavy vehicle,5613.555835828565,18754.133368895873,2,9309.533006423475,good,windy,rural,Not Overloaded
4-wheeler 7-seater,1939.9299392169155,824.6147227350738,5,606.473684291556,poor,rainy,rural,Overloaded
heavy vehicle,5401.118259816807,15706.520344069391,2,8113.87148793414,good,clear,suburban,Not Overloaded
